Fecha;Gasolina superior con aditivo;Gasolina superior;Gasolina regular;Diesel;Gas licuado
jul-02;15.56;14.86;14.52;9.88;38.95
ago-02;16.31;15.68;15.29;10.28;39.75
sep-02;16.23;15.63;15.21;10.24;43.97
oct-02;16.62;16;15.57;10.56;52.84
nov-02;16.75;16.12;15.69;16.45;54.98
dic-02;16.5;15.9;15.46;10.56;55.22
ene-03;16.34;15.8;15.37;10.9;56.62
feb-03;17.21;16.64;16.19;11.86;56.23
mar-03;18.3;17.79;17.27;13.13;55.02
abr-03;17.42;17.01;16.5;12.63;55.96
may-03;16.48;15.92;15.43;11.13;57.09
jun-03;15.68;15.07;14.64;9.91;51.26
jul-03;15.58;15.1;14.58;9.91;44.25
ago-03;16.06;15.54;15.01;10.48;44.16
sep-03;17.51;16.81;16.32;11.14;43.46
oct-03;17.2;16.6;16.14;10.82;45.49
nov-03;16.82;16.28;15.8;10.98;48.42
dic-03;16.4;15.89;25.92;11.25;51.05
ene-04;16.8;16.24;15.8;11.64;57.97
feb-04;18.05;17.49;17.08;12.59;60.88
mar-04;18.68;18.11;17.71;12.92;60.87
abr-04;19.16;18.48;18.07;12.54;60.93
may-04;19.48;18.89;18.45;12.7;60.88
jun-04;19.9;19.24;18.78;12.57;60.89
jul-04;19.85;19.16;18.7;12.55;60.76
ago-04;19.69;19.04;18.57;12.95;66.92
sep-04;19.51;18.91;18.42;13.88;69.98
oct-04;20.14;19.48;19.03;15.81;71.76
nov-04;21.03;20.31;19.82;17.15;77.57
dic-04;20.71;20.03;19.54;16.88;77.57
ene-05;19.8;19.09;18.52;15.93;77
feb-05;19.25;18.6;18.07;15.35;72.86
mar-05;20.46;19.76;19.25;16.25;70.74
abr-05;22.7;21.94;21.42;18.01;73.06
may-05;23.21;22.48;21.97;18.5;63.73
jun-05;22.98;22.22;21.74;17.25;60.51
jul-05;23.08;22.23;21.73;17.25;60.57
ago-05;23.63;22.89;22.38;17.8;65.06
sep-05;25.8;25.27;24.74;19.06;83.69
oct-05;27.83;27.22;26.72;20.5;90.59
nov-05;26.6;25.95;25.47;21.08;93.1
dic-05;23.93;23.29;22.8;20.61;95.43
ene-06;23.31;22.65;22.15;19.82;95.41
feb-06;22.98;22.35;21.87;19.28;95.39
mar-06;22.85;22.16;21.69;18.71;91.77
abr-06;25.36;24.48;23.99;19.63;85.67
